t_s,v_measured_V,is_A,i_A,q_C,v_fitted_V,residual_V
2280,3.56149774794241,0.383850225205759,0.74,1687.20000000002,3.56149774794242,1.28785870856518e-14
2281,3.561170534095,0.3838829465905,0.74,1687.94000000002,3.561170534095,4.44089209850063e-16
2282,3.56084231770669,0.383915768229331,0.74,1688.68000000002,3.5608423177067,1.19904086659517e-14
2283,3.56051309078919,0.383948690921081,0.74,1689.42000000002,3.56051309078919,3.10862446895044e-15
2284,3.56018284529048,0.383981715470952,0.74,1690.16000000002,3.56018284529048,-4.44089209850063e-16
2285,3.55985157309445,0.384014842690555,0.74,1690.90000000002,3.55985157309444,-1.28785870856518e-14
2286,3.55951926602023,0.384048073397977,0.74,1691.64000000002,3.55951926602023,-2.22044604925031e-15
2287,3.55918591582187,0.384081408417813,0.74,1692.38000000002,3.55918591582186,-7.99360577730113e-15
2288,3.55885151418761,0.384114848581239,0.74,1693.12000000002,3.55885151418763,2.26485497023532e-14
2289,3.55851605273961,0.384148394726039,0.74,1693.86000000002,3.5585160527396,-6.21724893790088e-15
2290,3.55817952303309,0.384182047696691,0.74,1694.60000000002,3.55817952303308,-1.33226762955019e-14
2291,3.5578419165561,0.38421580834439,0.74,1695.34000000002,3.55784191655608,-1.68753899743024e-14
2292,3.55750322472883,0.384249677527117,0.74,1696.08000000002,3.55750322472882,-1.50990331349021e-14
2293,3.55716343890313,0.384283656109687,0.74,1696.82000000002,3.55716343890311,-1.73194791841524e-14
2294,3.55682255036191,0.384317744963809,0.74,1697.56000000002,3.55682255036189,-2.1316282072803e-14
2295,3.55648055031861,0.384351944968139,0.74,1698.30000000002,3.55648055031862,1.06581410364015e-14
2296,3.55613742991673,0.384386257008327,0.74,1699.04000000002,3.55613742991675,1.95399252334028e-14
2297,3.55579318022919,0.384420681977081,0.74,1699.78000000002,3.55579318022917,-2.1316282072803e-14
2298,3.55544779225761,0.384455220774239,0.74,1700.52000000002,3.55544779225762,8.43769498715119e-15
2299,3.55510125693218,0.384489874306782,0.74,1701.26000000002,3.55510125693216,-1.59872115546023e-14
2300,3.55475356511059,0.384524643488941,0.74,1702.00000000002,3.55475356511057,-1.4210854715202e-14
2301,3.55440470757779,0.384559529242221,0.74,1702.74000000002,3.5544047075778,7.105427357601e-15
2302,3.55405467504534,0.384594532495466,0.74,1703.48000000002,3.55405467504534,0
2303,3.55370345815072,0.384629654184928,0.74,1704.22000000002,3.55370345815069,-2.66453525910038e-14
2304,3.55335104745674,0.384664895254326,0.74,1704.96000000002,3.55335104745677,2.53130849614536e-14
2305,3.55299743345125,0.384700256654875,0.74,1705.70000000002,3.55299743345126,7.54951656745106e-15
2306,3.55264260654607,0.384735739345393,0.74,1706.44000000002,3.55264260654608,3.5527136788005e-15
2307,3.55228655707671,0.384771344292329,0.74,1707.18000000002,3.55228655707672,1.24344978758018e-14
